event_id,truth_class,component_id,area_km2,preclip_area_km2,domain_status,retained_at_15000,centroid_lon,centroid_lat,min_lon,min_lat,max_lon,max_lat,artifact_method
20260524_19Z_F06,Medium,8,21987.26901972616,21987.269019726165,inside,True,-82.75594252637842,33.14464705882786,-83.57000132664527,32.020000000004565,-82.12000136808061,34.57000000000406,legacy independent-max frozen truth
20260524_19Z_F06,Medium,9,25.50130455944384,25.50130455944384,inside,False,-84.145001310214,34.395000000004096,-84.17000130949961,34.3700000000041,-84.12000131092842,34.420000000004094,legacy independent-max frozen truth
20260524_19Z_F06,Medium,10,4923.696455496533,4923.696455496533,inside,False,-82.51412703987813,29.366038251370288,-82.87000134664854,28.920000000004087,-82.1700013666518,29.770000000004224,legacy independent-max frozen truth
20260524_19Z_F06,Medium,11,14885.572976850639,14885.572976850639,inside,False,-80.76428245257341,38.148186274513144,-81.47000138665507,37.22000000000354,-80.170001423804,39.17000000000314,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,1,11017.492917523392,11017.492917523396,inside,False,-112.59207914899297,36.803202247194605,-113.3700004750776,36.27000000000372,-111.72000052222816,37.3700000000035,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,2,3864.379168598807,3864.379168598807,inside,False,-113.3878998828501,42.391449704144506,-113.77000046364716,42.02000000000258,-112.97000048650804,42.72000000000244,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,3,0.0,15590.9284509767,outside,False,-116.9466377997718,54.04570175438613,-118.02000034219876,52.920000000000414,-115.92000040220856,55.019999999999996,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,4,0.0,3349.4284520249616,outside,False,-123.835983782558,53.8720491803281,-124.27000016359816,53.520000000000294,-123.37000018931664,54.220000000000155,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,5,0.0,73.56106217105679,outside,False,-115.12000042506942,53.67000000000027,-115.17000042364063,53.620000000000275,-115.07000042649824,53.720000000000255,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,6,2255.5013490827578,2255.501349082758,inside,False,-108.32890866510935,32.95189655172853,-108.57000061224286,32.670000000004435,-108.07000062653091,33.22000000000433,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,7,45841.328229367806,45841.32822936776,inside,True,-107.82921843330084,34.92255666114271,-109.82000057652274,33.920000000004194,-105.92000068796952,36.220000000003736,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,8,784.1035016188922,784.1035016188923,inside,False,-111.97312551499482,37.59187500000346,-112.17000050936892,37.47000000000348,-111.77000052079936,37.72000000000344,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,9,0.0,1608.851051491524,outside,False,-107.85000063281764,29.715000000004217,-108.1700006236733,29.420000000004165,-107.62000063939016,29.970000000004255,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,10,2104.0565820800007,2104.056582080001,inside,False,-105.18488166135731,35.88785714286095,-105.47000070082876,35.620000000003856,-104.92000071654562,36.120000000003756,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,11,1473.8769762266652,1473.8769762266654,inside,False,-105.89750068861255,37.410000000003514,-106.02000068511191,37.07000000000356,-105.77000069225593,37.72000000000344,legacy independent-max frozen truth
20260728_19Z_F04,Sparse,12,24902.59463417679,24902.594634176785,inside,True,-104.58856797747875,38.30732943470118,-105.72000069368474,37.17000000000354,-103.37000076083856,39.32000000000312,legacy independent-max frozen truth
