event_id,component_id,truth_class,area_km2,preclip_area_km2,domain_status,retained_at_15000,capture_fraction,current_miss,sparse_area_capture,medium_area_capture,solid_line_capture,sparse_area_unique_capture,medium_area_unique_capture,solid_line_unique_capture,retained_medium_core_fraction,nearest_forecast_class,nearest_forecast_distance_km,artccs,min_lon,min_lat,max_lon,max_lat,artifact_method,report_label
20260524_19Z_F04,6,Sparse,23696.41584020182,23696.415840201822,inside,True,0.7888144801705365,False,0.7888144801705365,0.0,0.0,0.7888144801705365,0.0,0.0,0.0,Sparse AREA,0.0,ZFW,-98.52000089943263,31.82000000000454,-96.52000095658482,33.42000000000429,legacy independent-max frozen truth,
20260524_19Z_F04,7,Sparse,5564.939977247465,5564.939977247464,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,428.8713438350973,ZMP,-98.02000091372068,42.9200000000024,-97.12000093943917,43.720000000002244,legacy independent-max frozen truth,
20260524_19Z_F04,8,Sparse,3475.195704684412,3475.1957046844113,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,122.07103128043738,ZHU,-89.32000116233272,28.870000000004083,-88.67000118090718,29.570000000004192,legacy independent-max frozen truth,
20260524_19Z_F04,9,Sparse,19159.053334176206,19159.053334176202,inside,True,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,559.2316213105378,ZMP,-96.37000096087124,43.720000000002244,-93.97000102945387,45.37000000000191,legacy independent-max frozen truth,ZMP - Missed (Area M1)
20260524_19Z_F04,10,Sparse,2247.1129614870742,2247.1129614870733,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,996.0275858360193,ZMP,-91.22000110803813,45.97000000000179,-90.82000111946857,46.67000000000165,legacy independent-max frozen truth,
20260524_19Z_F04,11,Sparse,323.62191115092406,323.62191115092406,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,183.69506454234545,ZHU,-88.62000118233598,28.9700000000041,-88.52000118519359,29.270000000004146,legacy independent-max frozen truth,
20260524_19Z_F04,12,Sparse,19300.17414526146,19300.174145261473,inside,True,0.22426288360076313,False,0.22426288360076313,0.0,0.0,0.22426288360076313,0.0,0.0,0.0,Sparse AREA,0.0,ZJX,-85.97000125806264,29.770000000004224,-84.37000130378439,31.420000000004478,legacy independent-max frozen truth,
20260524_19Z_F04,13,Sparse,756.4740499748866,756.4740499748865,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,16.58629159809967,ZTL,-85.57000126949308,32.270000000004515,-85.17000128092351,32.52000000000447,legacy independent-max frozen truth,
20260524_19Z_F04,14,Sparse,25472.213489321395,25472.213489321402,inside,True,0.598715842024733,False,0.598715842024733,0.0,0.0,0.598715842024733,0.0,0.0,0.0,Sparse AREA,0.0,ZTL,-85.2700012780659,33.720000000004234,-83.52000132807407,36.07000000000376,legacy independent-max frozen truth,
20260524_19Z_F04,15,Sparse,38206.270257137134,38206.276448709126,crossing,True,0.6715634011776916,False,0.6715634011776916,0.0,0.0,0.6715634011776916,0.0,0.0,0.6192837990785482,Sparse AREA,0.0,ZJX/ZTL,-84.62000129664037,31.370000000004474,-81.52000138522627,33.22000000000433,legacy independent-max frozen truth,
